EnrollmentNo,choice1,choice2, choice3,choice4,choice5,choice6,choice7, choice8,choice9,choice10
E6928,C9015-CSE,C7510-IC,C2490-CH,C0871-CSE,C9015-Auto,C2490-CH,C4206-EC,C2490-Auto,C6014-IT,C4340-EE
E5898,C9763-CH,C8804-Auto,C1470-EE,C6968-CSE,C7410-EE,C0060-IC,C4501-Civil,C2310-ME,C6968-Auto,C4206-IC
E5833,C9763-IT,C2490-IC,C6978-ME,C1376-CH,C6900-IT,C4849-Civil,C9763-Civil,C4212-IT,C0871-IT,C1376-CH
E6946,C4449-Auto,C7410-EC,C9712-CH,C1510-CSE,C9443-Civil,C5668-EC,C0871-ME,C6879-Civil,C8804-CH,C4212-ME
E7047,C1510-CH,C9118-ME,C4790-IC,C9118-EE,C9015-CSE,C2220-Civil,C1570-Auto,C4212-Auto,C4340-Auto,C5005-ME
E5399,C1510-IT,C1470-Auto,C4206-IC,C9435-EC,C6968-Auto,C2310-CSE,C9118-Auto,C0060-EC,C8911-EE,C5111-IT
E8655,C9118-IC,C8132-IT,C9015-Civil,C7410-CSE,C7667-CSE,C8804-IC,C2800-ME,C2525-IT,C6014-Auto,C1470-CH
E2321,C4206-Auto,C6014-CSE,C9443-EE,C6879-EC,C8911-EC,C7933-EC,C8804-EC,C7330-IC,C2525-EC,C2310-Auto
E8393,C6014-CSE,C8132-EC,C9896-CSE,C0060-CH,C5668-Auto,C2490-Civil,C8804-CH,C4501-Civil,C8911-EE,C2220-ME
E7451,C5597-Civil,C6968-ME,C2661-CSE,C1932-IC,C1570-Auto,C5005-CH,C7168-IT,C4790-IC,C7933-Auto,C0060-Civil
E5853,C4340-CSE,C6978-Auto,C9712-CSE,C6879-Auto,C9443-CSE,C7667-CSE,C5005-EE,C2661-EC,C2010-Civil,C6879-Auto
E2136,C4849-CSE,C1470-IC,C7330-EC,C4212-Auto,C2490-EC,C2310-Civil,C5111-ME,C4340-EC,C4826-Civil,C9015-IC
E3479,C4340-EE,C5668-IT,C1932-EC,C1470-EC,C4849-IC,C6978-IT,C1664-IC,C6200-ME,C7410-EE,C1570-ME
E2555,C4790-IC,C4449-IT,C6900-EC,C1510-Auto,C9443-IC,C1510-EE,C2010-Civil,C1470-Auto,C4206-ME,C4501-EC
E6220,C0060-ME,C8804-ME,C9118-Auto,C1570-EE,C4849-Auto,C7168-CH,C4501-IC,C4790-Civil,C9763-EE,C1932-IC
E4048,C1570-Auto,C9435-Auto,C4449-Civil,C2525-CH,C9015-IT,C9015-Civil,C1510-CH,C1664-CH,C2220-EC,C8804-EC
E9254,C2490-ME,C6879-IT,C4340-IT,C5668-Civil,C1510-Civil,C6978-IT,C7168-CH,C8804-Civil,C9443-IC,C4449-CSE
E8850,C7168-EE,C5668-CSE,C1470-Civil,C4790-EE,C2310-EE,C2310-CSE,C6968-Auto,C2310-Auto,C6014-EE,C2525-IC
E8758,C1376-Civil,C7330-CSE,C8895-IC,C1570-Auto,C1470-ME,C7168-EE,C4849-ME,C1376-EE,C7510-ME,C1470-Auto
E4348,C4501-IC,C1470-Auto,C4849-Auto,C2525-EC,C7330-CH,C5668-IC,C9763-EC,C2010-IC,C8911-ME,C7410-CSE
E5862,C2010-IT,C0060-CH,C5668-CSE,C6900-IT,C6900-Auto,C9435-Civil,C2525-CSE,C9896-CSE,C7410-IC,C2010-CH
E9945,C7168-EC,C5597-IT,C7330-EE,C8132-Auto,C5597-CH,C4449-CSE,C4849-EC,C4449-IT,C2220-CSE,C8911-IC
E2366,C4849-IC,C7510-CH,C4790-CSE,C8132-CSE,C0871-CH,C9712-ME,C7510-Auto,C4790-IT,C5111-Civil,C2661-Civil
E3955,C9118-EE,C7168-EC,C9443-Auto,C4826-IT,C8804-EC,C4501-EC,C9118-CSE,C4790-ME,C9896-CH,C2525-IC
E1293,C2661-IC,C6014-IC,C4790-CH,C9763-Auto,C9015-EE,C9896-Auto,C9712-EE,C1570-Civil,C6879-EE,C4206-EC
E7094,C4826-CH,C4206-Auto,C2661-IT,C8132-Civil,C5668-IT,C7410-Auto,C4501-IC,C2525-IT,C4449-ME,C7330-IT
E1815,C6978-Auto,C2525-ME,C8804-Auto,C9435-Auto,C1510-Civil,C4849-CSE,C8804-Civil,C1570-Auto,C2661-IC,C9763-CSE
E7631,C1376-IT,C7667-CSE,C2310-IT,C2220-IC,C4340-Auto,C4449-IC,C9015-EE,C6968-CH,C9896-CSE,C7667-IC
E7284,C8911-ME,C2661-CH,C4340-CH,C6014-CH,C1470-IC,C4826-EC,C4206-ME,C9712-EE,C2800-Civil,C4501-CSE
E5119,C7667-CH,C9435-Auto,C6879-CH,C1932-EC,C6879-IT,C8804-ME,C9015-Auto,C4340-CSE,C4340-CSE,C7410-EC
E9198,C1470-CSE,C6014-Civil,C1664-CSE,C4449-IT,C1510-CH,C5597-CSE,C4340-Civil,C9118-EC,C5111-EE,C0060-IC
E9046,C5005-CH,C4206-IT,C9763-ME,C1570-IT,C6900-ME,C5005-IC,C7330-CSE,C5668-Auto,C7510-EC,C6879-ME
E6011,C1376-EC,C2010-ME,C4340-CH,C9443-IC,C1570-ME,C7667-Civil,C4826-CSE,C1932-EE,C2010-IT,C1570-Auto
E3837,C7330-IC,C6968-Civil,C9443-Auto,C2220-Auto,C7933-ME,C4501-Civil,C1510-CH,C2800-Civil,C8895-IT,C2661-CH
E4637,C1664-EC,C0060-IC,C6014-CSE,C1470-CSE,C1376-EC,C7933-Civil,C4849-EC,C4206-ME,C2490-CSE,C9015-ME
E5744,C2220-CH,C4849-ME,C9118-ME,C2010-IC,C7667-Auto,C6900-CSE,C7168-IC,C1470-CSE,C9443-IC,C5005-CSE
E7079,C7410-IT,C1510-ME,C6968-EE,C5005-EC,C4501-Auto,C9896-IT,C9763-ME,C1470-IT,C1664-Civil,C1510-Civil
E3301,C6900-ME,C6900-IT,C2490-CH,C2490-EC,C2525-Auto,C4790-ME,C9118-ME,C1376-EC,C4449-EC,C7168-EC
E8012,C8804-IC,C6879-EC,C9118-EC,C8132-CH,C4212-EC,C4501-CSE,C8895-CH,C9712-IT,C6879-ME,C1570-Auto
E0877,C8804-Auto,C7410-IT,C4449-EC,C1510-CSE,C0871-EE,C8804-IC,C4790-EC,C9896-Civil,C7933-CH,C7667-EE
E3126,C6900-Auto,C1932-EE,C4449-CSE,C8132-Civil,C7933-ME,C6014-Auto,C4449-EC,C4849-Civil,C8804-EE,C2310-Auto
E9176,C7510-CH,C5111-IC,C6978-EE,C7667-IT,C2525-IT,C4206-ME,C6879-EC,C6968-ME,C2661-IT,C6014-IT
E8527,C6200-EE,C4212-EC,C6879-IT,C4790-CSE,C0871-EE,C6900-CSE,C1510-EC,C9435-EE,C6968-IC,C6879-CH
E0073,C6968-EC,C4212-IT,C7330-CSE,C7933-EE,C1510-Auto,C4212-EC,C2310-IC,C9712-EE,C4212-ME,C1664-ME
