CollegeCode,CSE,IT,ME,EE,EC,IC,CH,Civil,Auto
C4206,180,60,240,120,0,60,120,120,60
C1376,60,180,240,240,240,0,180,60,60
C6014,180,60,240,240,240,240,180,60,0
C9443,120,120,0,120,60,240,240,240,60
C5005,120,240,60,180,180,240,0,0,60
C2490,240,240,180,180,180,120,180,60,0
C9763,120,120,240,120,0,180,0,60,180
C4849,60,0,0,180,120,180,60,240,240
C0871,180,240,240,180,180,0,180,0,120
C6879,60,180,180,180,180,60,0,120,180
C9712,180,240,0,240,0,240,60,0,180
C2525,120,120,120,0,180,120,180,0,120
C1664,60,120,240,60,0,0,60,60,120
C4340,60,60,240,0,180,60,60,0,240
C8911,0,60,240,180,0,180,180,120,60
C9118,240,120,0,60,240,120,180,240,0
C1470,0,240,0,240,60,120,0,240,240
C4826,240,120,60,120,120,0,240,120,120
C2010,180,240,0,120,0,240,180,240,180
C9896,60,240,240,60,0,60,120,0,0
C7410,120,240,0,60,0,120,0,120,180
C2310,240,180,0,60,0,0,180,180,180
C0060,180,120,240,120,180,120,0,180,180
C6900,180,0,180,240,180,240,180,240,180
C2800,60,240,0,240,180,60,120,60,60
C4212,120,180,0,180,180,180,120,60,60
C1570,60,0,240,240,0,0,0,0,120
C5668,180,180,240,180,0,60,0,60,120
C1510,60,180,120,120,120,0,120,60,60
C4501,60,0,60,0,0,0,60,120,120
C4790,60,120,60,180,240,120,60,180,0
C7510,180,60,0,240,180,60,60,120,180
C1932,180,120,60,0,240,180,180,60,120
C5111,120,0,240,240,0,120,180,180,180
C4449,0,120,60,240,240,240,0,120,0
C7168,180,60,60,180,240,0,60,240,180
C2661,180,240,240,0,240,0,240,240,0
C6968,120,240,60,180,180,240,0,60,60
C7330,180,60,60,120,120,0,240,180,180
C6978,60,120,0,180,120,120,120,120,120
C9015,240,120,120,60,180,240,240,120,240
C8132,240,180,180,60,240,240,240,180,120
C8895,180,180,0,60,60,120,180,60,0
C6200,0,60,240,240,240,0,0,120,240
C5597,120,60,0,60,240,180,120,0,60
C9435,240,240,240,180,60,0,60,240,240
C7933,0,120,180,60,180,60,240,240,60
C8804,180,60,120,0,60,180,0,60,0
C2220,180,0,0,240,180,240,0,0,0
C7667,120,180,120,240,0,60,60,180,120
