EnrollmentNo,sub1,sub2,sub3,sub4,sub5
E3292,78,91,53,43,92
E0194,63,91,43,72,88
E0479,84,68,58,57,98
E1559,83,77,55,88,60
E0179,100,65,93,40,61
E6526,51,58,93,96,70
E5769,51,65,92,95,67
E0699,66,43,95,58,61
E8992,78,62,62,74,63
E8547,73,72,49,54,50
E3494,57,71,52,42,63
E8203,51,51,53,46,91
E2751,91,86,75,61,49
E9953,82,51,48,81,84
E1805,70,54,71,48,59
E8377,84,68,71,64,96
E4956,49,58,77,89,69
E4817,59,78,83,51,68
E1261,49,96,42,85,70
E3570,78,47,91,74,77
E9043,69,77,56,85,90
E1977,85,89,97,96,58
E4110,46,40,87,98,66
E3512,71,73,45,92,66
E9522,61,70,70,61,95
E5372,71,62,40,65,98
E9606,76,62,42,41,70
E8053,81,77,48,85,61
E3815,87,99,99,90,60
E1221,55,76,44,68,85
E8811,86,60,92,40,93
E0316,58,75,91,67,44
E2270,72,75,43,64,95
E7032,96,89,46,64,40
E5924,46,43,47,62,93
E5468,52,82,88,85,41
E6059,44,98,94,63,54
E6390,86,41,45,41,82
E3504,53,98,73,51,80
E4638,78,53,76,88,68
E7175,68,72,100,85,63
E7430,41,74,71,74,68
E9644,91,58,46,73,55
E5441,51,44,90,51,89
E7454,47,63,70,79,48
E7643,99,80,99,42,80
E7855,56,44,54,71,41
E2935,96,65,73,50,81
E5308,41,68,82,66,60
E2448,70,69,64,74,72
E1938,92,44,64,100,58
E4486,86,56,49,68,73
E1280,95,45,58,67,80
E2550,67,89,95,77,60
E8674,42,43,46,88,84
E2516,43,82,77,56,65
E6111,99,66,80,83,57
E7880,54,93,74,99,95
E8676,77,40,92,50,99
E0163,65,61,51,63,46
E6582,68,99,50,84,40
E0522,65,68,71,76,97
E9767,71,58,45,47,97
E4364,49,78,80,55,66
E7763,84,73,91,99,47
E5086,97,43,66,43,78
E3064,51,80,85,100,80
E0995,71,86,63,77,100
E9697,93,46,68,52,45
E6982,63,53,66,94,98
E7342,68,74,84,64,42
E5969,78,43,42,40,46
E4103,95,91,76,78,85
E2725,79,64,45,90,80
E3520,48,100,81,71,70
E9615,60,54,40,47,77
E6415,72,100,56,72,48
E0395,44,98,53,57,94
E9956,44,44,95,67,46
E4571,82,59,75,63,90
E8669,65,81,86,46,77
E2657,44,55,93,100,60
E3554,76,67,84,72,96
E4936,86,89,56,48,85
E6991,76,60,81,59,73
E5276,66,65,63,84,93
E6188,52,83,96,48,100
E8689,74,59,57,60,74
E6581,65,89,80,84,60
E9131,56,90,72,87,44
E1295,56,89,67,88,49
E2417,46,54,57,55,84
E0127,50,70,76,95,87
E2883,82,92,99,91,64
E6467,54,45,94,99,97
E5310,42,42,55,64,43
E4327,44,58,96,56,69
E4485,47,49,48,72,60
E9806,54,41,89,86,57
E2092,46,54,71,90,60
E6812,54,61,55,85,41
E7932,74,76,59,80,83
E7788,91,68,83,96,67
E5944,68,57,92,48,74
E7474,57,95,57,99,93
E6967,83,78,52,79,65
E6550,66,47,69,77,73
E0233,58,100,91,98,83
E3579,57,83,59,64,87
E0830,51,47,88,49,78
E8143,100,82,76,58,99
E0558,75,91,46,44,43
E2251,94,99,45,84,51
E9622,58,88,70,56,41
E6725,79,88,52,73,67
E1067,75,52,52,69,95
E3313,54,42,62,92,43
E7064,62,52,76,68,53
E9133,40,58,57,46,61
E4941,75,60,59,50,46
E2752,54,98,97,40,85
E5448,83,63,54,72,49
E0564,86,40,94,44,83
E6264,43,67,81,99,85
E8790,45,42,50,49,88
E0886,59,96,78,52,91
E0956,40,48,55,58,95
E2225,86,55,95,97,53
E2967,84,87,63,80,98
E4213,58,45,40,96,43
E9528,54,81,53,95,90
E6689,87,51,89,83,98
E8640,49,61,94,76,92
E5332,56,58,82,57,44
E6180,92,90,53,88,43
E6543,59,98,77,45,42
E5695,52,58,51,52,83
E7598,66,40,95,53,84
E8697,48,79,95,76,44
E2003,64,79,44,62,100
E0059,69,46,43,68,49
E3545,70,48,53,70,53
E5016,47,75,65,78,76
E6099,58,62,99,58,90
E3982,47,68,83,72,66
E7422,89,57,92,65,42
E9676,98,96,79,59,94
E3761,52,48,49,63,85
E0446,71,86,45,84,55
E9022,87,63,99,60,100
E0097,42,62,51,88,93
E5514,41,96,89,46,95
E5375,63,91,73,50,75
E1175,73,98,94,92,43
E3705,92,85,42,65,78
E5224,41,66,42,68,96
E0295,79,55,75,99,99
E3991,69,51,47,84,78
E3946,47,73,100,56,63
E3165,48,72,46,61,66
E2316,78,79,71,96,56
E1606,98,63,51,53,51
E8979,44,94,83,73,94
E1551,52,57,53,40,100
E3212,89,56,42,86,82
E3803,92,83,53,51,77
E1117,65,78,97,70,85
E4002,67,90,46,46,87
E3494,89,76,61,58,100
E4923,84,83,66,55,77
E4733,68,66,95,72,49
E5506,65,82,86,50,69
E4762,62,77,43,89,52
E2873,91,44,71,80,45
E6009,59,55,97,83,51
E4089,50,86,80,91,94
E1131,79,51,67,85,62
E4224,42,43,86,55,44
E4840,69,45,86,53,43
E6972,87,60,77,40,93
E2668,52,95,54,53,43
E8474,88,64,100,51,71
E7908,78,41,71,68,83
E7026,62,85,72,78,75
E7317,63,74,49,74,55
E6779,72,63,61,75,56
E1252,77,60,96,98,59
E6157,59,53,98,62,50
E9434,72,67,40,85,77
E9248,40,51,51,70,95
E4288,83,89,66,63,62
E0397,55,100,84,89,83
E9876,98,40,81,54,65
E9632,43,67,49,91,48
E2882,72,75,73,96,91
E3521,40,72,43,58,82
E4148,64,86,100,62,83
E8738,93,41,72,92,60
E0585,50,58,87,48,40
E7968,88,66,73,56,74
E3390,42,67,62,58,55
E3895,47,40,50,63,100
E2833,69,99,62,89,59
E9730,88,88,75,81,94
E8336,71,97,54,44,48
E7093,67,92,43,99,68
E0014,86,42,51,71,85
E4783,99,81,95,75,51
E8850,78,92,99,80,99
E7451,98,97,59,99,100
E1833,54,53,90,94,100
E1523,91,92,87,89,41
E5807,56,66,100,61,58
E3064,59,61,83,41,96
E2226,59,66,72,67,93
E2661,62,78,51,43,66
E1025,83,69,80,68,58
E5641,58,42,86,85,67
E4478,73,70,50,72,48
E6072,41,94,56,83,83
E6045,50,66,93,66,49
E4296,80,56,83,72,87
E3314,48,50,82,73,76
E6869,64,60,82,83,73
E6119,49,57,64,59,54
E6994,65,74,59,48,90
E6959,87,82,60,41,73
E1909,89,72,44,79,52
E3821,76,43,80,92,82
E1441,47,75,89,90,60
E3496,77,71,87,84,90
E5866,55,88,57,44,94
E7686,69,85,87,98,72
E1712,83,56,79,69,100
E8562,46,45,76,97,74
E3495,78,77,41,64,73
E2992,44,69,49,93,87
E5698,61,50,99,71,59
E8641,91,81,53,84,78
E5270,90,73,42,85,42
E2480,90,42,44,84,54
E9780,47,86,49,75,95
E6977,53,86,95,72,48
E0533,73,60,81,89,78
E7670,68,48,95,40,45
E5824,85,70,95,94,49
E1607,75,88,58,51,90
E9899,41,60,51,58,60
E2045,73,84,50,53,95
E0244,45,94,59,95,47
E0423,63,77,78,51,51
E1217,48,56,59,52,90
E6215,42,42,50,63,80
E9226,53,63,65,63,45
E8246,60,65,66,91,49
E1142,96,100,73,84,54
E4256,76,76,50,78,87
E9762,86,85,65,42,85
E9294,100,93,98,58,69
E3921,77,100,40,68,46
E2069,83,99,45,74,51
E5801,95,80,78,61,46
E4933,75,53,70,87,80
