EnrollmentNo,sub1,sub2,sub3,sub4,sub5,Total,Percentage
E6928,89,95,99,89,100,472,95
E5898,99,84,92,96,92,463,93
E5833,87,92,99,82,97,457,92
E6946,100,78,99,84,96,457,92
E7047,99,72,98,93,94,456,92
E5399,98,81,79,98,99,455,91
E8655,100,88,95,78,94,455,91
E2321,86,94,89,85,100,454,91
E8393,95,99,84,89,87,454,91
E7451,98,97,59,99,100,453,91
E5853,97,98,100,72,86,453,91
E2136,90,93,84,93,92,452,91
E3479,90,89,85,88,100,452,91
E2555,93,89,92,85,91,450,90
E6220,96,70,99,91,94,450,90
E4048,100,100,80,71,98,449,90
E9254,92,96,89,84,88,449,90
E8850,78,92,99,80,99,448,90
E8758,99,96,76,91,85,447,90
E4348,88,96,67,100,96,447,90
E5862,99,97,86,91,74,447,90
E9945,92,94,86,86,89,447,90
E2366,95,78,93,99,82,447,90
E3955,100,98,88,88,72,446,90
E1293,70,95,90,100,91,446,90
E7094,87,99,88,97,75,446,90
E1815,82,73,98,100,93,446,90
E7631,96,93,89,72,96,446,90
E7284,83,88,100,77,98,446,90
E5119,98,98,93,93,64,446,90
E9198,94,98,75,81,97,445,89
E9046,75,100,80,90,100,445,89
E6011,97,77,100,71,100,445,89
E3837,65,93,88,100,99,445,89
E4637,94,91,80,81,99,445,89
E5744,96,85,72,92,99,444,89
E7079,78,75,99,93,99,444,89
E3301,84,92,100,71,96,443,89
E8012,92,95,82,93,81,443,89
E0877,83,68,97,97,98,443,89
E3126,84,99,94,70,96,443,89
E9176,98,65,100,98,82,443,89
E8527,77,98,85,85,97,442,89
E0073,97,64,87,98,96,442,89
E9801,88,100,99,97,58,442,89
E5925,94,98,93,95,60,440,88
E5537,76,88,77,99,100,440,88
E3145,85,88,100,89,78,440,88
E8709,96,79,78,93,94,440,88
E1244,94,82,69,100,95,440,88
E2028,67,95,94,95,88,439,88
E9950,81,95,94,69,100,439,88
E6896,97,66,89,97,90,439,88
E9500,89,87,84,84,94,438,88
E8798,84,89,81,88,96,438,88
E1171,90,82,93,82,91,438,88
E3392,99,89,100,95,55,438,88
E8966,95,95,58,93,97,438,88
E1601,98,97,82,78,83,438,88
E3514,94,78,66,99,100,437,88
E4156,95,76,96,79,91,437,88
E2563,87,86,71,94,99,437,88
E2827,81,84,84,88,100,437,88
E3884,72,94,83,89,99,437,88
E4689,89,96,81,83,88,437,88
E3561,76,88,88,90,95,437,88
E5069,76,95,83,96,87,437,88
E2595,91,94,78,74,99,436,88
E9197,100,70,84,95,87,436,88
E7654,91,88,94,98,65,436,88
E5429,100,49,97,97,93,436,88
E5746,95,94,61,91,95,436,88
E7370,90,76,96,92,82,436,88
E9659,92,72,100,99,73,436,88
E3815,87,99,99,90,60,435,87
E3637,87,97,86,89,76,435,87
E6758,88,82,94,72,99,435,87
E6332,88,76,91,98,82,435,87
E2796,87,97,99,79,73,435,87
E9040,100,90,100,87,58,435,87
E8535,78,98,79,95,85,435,87
E2455,94,82,84,95,80,435,87
E9771,93,97,82,82,80,434,87
E1560,72,95,94,74,99,434,87
E0704,91,90,84,72,97,434,87
E8196,88,96,85,82,82,433,87
E4367,79,91,98,74,91,433,87
E8584,75,100,89,98,71,433,87
E1107,78,72,95,99,89,433,87
E8101,96,76,90,100,70,432,87
E1929,90,87,89,82,84,432,87
E2130,71,95,94,73,99,432,87
E0663,94,91,99,59,88,431,87
E9301,69,97,98,81,86,431,87
E6583,94,56,96,91,94,431,87
E0571,71,100,92,82,86,431,87
E6366,61,97,97,98,78,431,87
E8316,98,92,50,100,91,431,87
E3529,82,80,74,98,97,431,87
E4081,81,98,54,99,99,431,87
E3126,95,88,59,97,92,431,87
E0082,70,97,78,90,96,431,87
E7801,96,97,55,95,88,431,87
E2917,82,85,95,73,96,431,87
E0233,58,100,91,98,83,430,86
E7439,89,100,79,73,89,430,86
E7006,98,85,99,63,85,430,86
E5280,96,84,74,93,83,430,86
E2461,69,94,90,88,89,430,86
E2746,89,88,73,97,83,430,86
E7733,91,100,89,60,90,430,86
E9593,84,94,71,87,94,430,86
E9486,87,99,98,100,45,429,86
E8847,95,72,77,87,98,429,86
E5344,100,57,95,89,88,429,86
E7919,59,100,90,80,100,429,86
E3415,86,65,98,96,84,429,86
E7557,73,86,80,93,97,429,86
E3502,96,81,64,100,88,429,86
E7537,75,81,99,98,76,429,86
E3152,97,84,65,94,89,429,86
E7430,91,95,71,76,96,429,86
E4601,63,89,94,86,97,429,86
E2901,68,100,86,87,88,429,86
E0459,100,84,89,93,63,429,86
E6529,80,74,94,88,93,429,86
E2883,82,92,99,91,64,428,86
E2876,89,82,92,85,80,428,86
E0780,83,86,94,77,88,428,86
E1906,72,99,64,99,94,428,86
E3998,92,78,87,88,83,428,86
E0919,95,79,81,85,88,428,86
E6940,94,84,96,76,78,428,86
E1181,87,95,93,64,89,428,86
E9558,83,68,92,98,87,428,86
E8209,78,79,96,85,89,427,86
E2351,49,97,96,97,88,427,86
E4817,86,84,98,89,70,427,86
E8686,76,81,89,92,89,427,86
E8647,97,89,71,74,96,427,86
E3449,89,88,80,74,96,427,86
E0636,85,88,100,77,77,427,86
E9676,98,96,79,59,94,426,86
E9730,88,88,75,81,94,426,86
E0030,76,91,86,78,95,426,86
E2733,99,41,92,97,97,426,86
E2235,81,100,100,69,76,426,86
E3044,96,94,55,93,88,426,86
E3609,72,100,98,58,98,426,86
E2977,81,99,69,95,82,426,86
E7505,100,73,87,95,71,426,86
E0559,68,89,97,85,87,426,86
E2822,87,85,83,80,91,426,86
E6208,64,95,71,98,98,426,86
E7133,95,98,94,50,89,426,86
E1364,61,98,81,88,98,426,86
E1977,85,89,97,96,58,425,85
E4103,95,91,76,78,85,425,85
E5893,87,68,100,100,70,425,85
E6734,71,62,97,96,99,425,85
E4088,63,95,92,95,80,425,85
E1855,92,78,88,82,85,425,85
E7387,95,97,80,70,83,425,85
E7749,98,63,97,82,85,425,85
E7961,81,69,97,88,90,425,85
E4941,96,95,50,87,97,425,85
E8787,99,69,89,87,80,424,85
E4110,81,58,100,86,99,424,85
E9008,92,60,92,91,89,424,85
E2987,95,83,95,85,66,424,85
E3972,82,93,94,62,93,424,85
E8206,85,100,88,98,53,424,85
E5997,64,90,90,91,89,424,85
E0772,92,55,90,96,91,424,85
E1663,93,61,89,88,93,424,85
E6488,86,98,66,93,81,424,85
E7711,96,84,91,88,65,424,85
E6589,95,82,85,82,79,423,85
E7083,89,78,66,90,100,423,85
E3703,89,84,95,56,99,423,85
E3809,73,94,87,78,91,423,85
E0107,87,64,93,88,91,423,85
E4061,84,59,90,92,98,423,85
E0448,58,94,87,93,91,423,85
E8679,64,94,83,100,82,423,85
E7481,99,69,69,89,97,423,85
E0186,54,93,98,88,90,423,85
E5353,91,100,67,80,85,423,85
E8153,86,85,94,89,69,423,85
E5583,98,90,93,52,90,423,85
E7347,84,93,55,96,95,423,85
E8444,84,84,64,96,95,423,85
E0212,79,56,100,87,100,422,85
E0183,81,75,87,89,90,422,85
E0243,87,96,99,46,94,422,85
E6080,89,99,81,58,95,422,85
E2204,48,100,91,95,88,422,85
E2277,68,91,89,76,97,421,85
E5765,81,85,90,65,100,421,85
E1635,43,96,97,100,85,421,85
E2863,94,74,70,98,85,421,85
E1685,100,77,70,96,78,421,85
E4396,67,89,98,86,81,421,85
E4188,93,92,83,77,76,421,85
E3524,44,99,95,93,90,421,85
E5486,74,88,88,93,78,421,85
E1435,55,89,88,95,94,421,85
E2040,89,69,97,100,66,421,85
E6613,94,85,95,80,67,421,85
E7393,61,92,85,92,91,421,85
E2987,90,67,83,91,90,421,85
E8056,65,99,71,97,89,421,85
E0004,93,69,91,97,71,421,85
E1751,92,81,56,92,100,421,85
E6465,83,94,91,77,76,421,85
E9516,82,93,97,69,79,420,84
E8884,79,97,57,98,89,420,84
E8549,98,77,64,83,98,420,84
E5470,69,92,84,96,79,420,84
E2770,54,92,89,90,95,420,84
E4289,95,95,85,72,73,420,84
E7918,68,94,79,92,87,420,84
E7351,66,97,84,83,90,420,84
E4077,67,99,79,98,77,420,84
E5151,73,86,99,91,71,420,84
E6932,86,84,96,67,87,420,84
E1932,93,63,91,98,75,420,84
E2031,85,88,89,84,73,419,84
E8358,68,87,92,84,88,419,84
E7857,87,76,93,87,76,419,84
E8848,97,100,86,56,80,419,84
E6963,99,69,70,83,98,419,84
E1131,84,92,79,79,85,419,84
E9315,70,92,98,91,68,419,84
E2847,97,90,96,89,47,419,84
E2468,89,90,69,82,89,419,84
E6701,86,53,98,96,86,419,84
E3268,72,79,80,98,90,419,84
E7635,58,96,70,95,100,419,84
E9294,100,93,98,58,69,418,84
E4274,82,92,98,98,48,418,84
E9576,100,63,99,60,96,418,84
E8080,95,74,93,99,57,418,84
E3193,82,92,61,96,87,418,84
E5458,87,64,94,98,75,418,84
E8897,93,98,74,83,70,418,84
E8328,92,100,88,98,40,418,84
E3576,72,88,88,100,70,418,84
E5564,90,61,97,71,99,418,84
E5743,46,99,83,92,98,418,84
E0986,55,100,73,95,95,418,84
E3279,84,83,84,81,86,418,84
E8885,97,81,65,76,99,418,84
E5003,99,89,87,68,75,418,84
E6710,73,83,95,83,84,418,84
E2055,71,88,85,89,85,418,84
E7849,69,91,82,77,99,418,84
E9290,91,100,81,98,48,418,84
E2956,99,95,62,92,70,418,84
E4074,80,76,97,91,74,418,84
E2653,86,86,84,79,83,418,84
E8912,93,76,96,68,85,418,84
E1282,76,100,84,99,58,417,84
E0226,83,78,72,100,84,417,84
E3772,94,94,99,55,75,417,84
E1842,82,100,91,52,92,417,84
E4461,72,88,86,91,80,417,84
E7306,80,88,85,76,88,417,84
E7791,74,86,93,93,71,417,84
E4820,84,60,97,87,89,417,84
E4143,100,55,74,100,88,417,84
E6610,62,91,84,95,85,417,84
E8763,62,70,95,96,94,417,84
E9753,92,83,95,57,89,416,84
E1770,100,94,86,70,66,416,84
E9273,91,86,100,44,95,416,84
E7367,56,97,90,88,85,416,84
E8877,95,74,61,89,97,416,84
E1643,74,98,97,93,54,416,84
E3796,90,70,82,82,92,416,84
E7256,68,94,89,89,76,416,84
E5820,98,43,91,86,98,416,84
E6294,89,92,81,97,57,416,84
E1451,98,80,51,91,96,416,84
E6933,80,91,95,88,62,416,84
E4888,89,89,87,93,58,416,84
E3193,60,94,70,98,94,416,84
E3437,84,94,100,63,75,416,84
E6493,63,86,96,80,91,416,84
E5291,92,95,43,88,98,416,84
E7880,54,93,74,99,95,415,83
E8143,100,82,76,58,99,415,83
E7492,94,72,75,89,85,415,83
E1124,93,96,74,90,62,415,83
E3596,69,85,74,98,89,415,83
E8125,68,83,73,99,92,415,83
E6249,91,94,99,88,43,415,83
E6763,85,78,93,90,69,415,83
E9423,67,91,88,77,92,415,83
E0126,71,76,94,92,82,415,83
E7527,94,96,94,72,59,415,83
E1173,64,92,86,94,79,415,83
E8682,77,100,60,84,94,415,83
E4619,97,76,88,56,97,414,83
E8686,96,96,75,65,82,414,83
E0639,84,88,93,74,75,414,83
E9751,87,79,69,90,89,414,83
E9618,93,92,87,95,47,414,83
E3054,44,92,97,84,97,414,83
E7506,75,91,65,86,97,414,83
E1197,61,75,97,82,99,414,83
E8672,82,88,97,90,57,414,83
E7196,91,77,100,72,74,414,83
E6697,73,79,64,100,98,414,83
E4749,89,100,62,94,69,414,83
E7501,90,84,75,94,71,414,83
E9000,67,95,90,82,79,413,83
E2613,70,98,66,98,81,413,83
E3076,95,80,96,48,94,413,83
E4046,83,82,100,61,87,413,83
E1064,74,93,80,84,82,413,83
E4987,89,94,84,98,48,413,83
E4329,65,61,93,98,96,413,83
E8855,91,72,96,74,80,413,83
E6344,94,43,97,85,94,413,83
E1241,97,50,100,75,91,413,83
E0797,80,86,94,89,64,413,83
E6511,78,98,89,67,81,413,83
E4529,96,64,75,84,94,413,83
E1859,93,74,65,88,93,413,83
E2327,64,97,75,94,83,413,83
E1645,97,89,93,58,76,413,83
E7262,96,100,72,57,88,413,83
E2967,84,87,63,80,98,412,83
E2806,67,100,88,77,80,412,83
E4509,89,98,67,85,73,412,83
E5753,87,88,73,95,69,412,83
E5970,97,100,68,61,86,412,83
E7057,100,74,80,66,92,412,83
E5888,96,86,72,60,98,412,83
E5936,77,83,96,100,56,412,83
E2228,76,43,98,100,95,412,83
E8950,87,75,64,86,100,412,83
E9987,72,100,66,81,93,412,83
